wellNumber,wellName,chemID_1,concentration_1
1,A01,DMSO,0
2,A02,DMSO,0
3,A03,DMSO,0
4,A04,DMSO,0
5,A05,DMSO,0
6,A06,DMSO,0
7,A07,DMSO,0
8,A08,DMSO,0
9,A09,DMSO,0
10,A10,DMSO,0
11,A11,DMSO,0
12,A12,DMSO,0
13,B01,DHI,3.125
14,B02,DHI,3.125
15,B03,DHI,3.125
16,B04,DHI,3.125
17,B05,DHI,3.125
18,B06,DHI,3.125
19,B07,DHI,3.125
20,B08,DHI,3.125
21,B09,DHI,3.125
22,B10,DHI,3.125
23,B11,DHI,3.125
24,B12,DHI,3.125
25,C01,DHI,6.25
26,C02,DHI,6.25
27,C03,DHI,6.25
28,C04,DHI,6.25
29,C05,DHI,6.25
30,C06,DHI,6.25
31,C07,DHI,6.25
32,C08,DHI,6.25
33,C09,DHI,6.25
34,C10,DHI,6.25
35,C11,DHI,6.25
36,C12,DHI,6.25
37,D01,DHI,12.5
38,D02,DHI,12.5
39,D03,DHI,12.5
40,D04,DHI,12.5
41,D05,DHI,12.5
42,D06,DHI,12.5
43,D07,DHI,12.5
44,D08,DHI,12.5
45,D09,DHI,12.5
46,D10,DHI,12.5
47,D11,DHI,12.5
48,D12,DHI,12.5
49,E01,DHI,25
50,E02,DHI,25
51,E03,DHI,25
52,E04,DHI,25
53,E05,DHI,25
54,E06,DHI,25
55,E07,DHI,25
56,E08,DHI,25
57,E09,DHI,25
58,E10,DHI,25
59,E11,DHI,25
60,E12,DHI,25
61,F01,DHI,50
62,F02,DHI,50
63,F03,DHI,50
64,F04,DHI,50
65,F05,DHI,50
66,F06,DHI,50
67,F07,DHI,50
68,F08,DHI,50
69,F09,DHI,50
70,F10,DHI,50
71,F11,DHI,50
72,F12,DHI,50
73,G01,DHI,100
74,G02,DHI,100
75,G03,DHI,100
76,G04,DHI,100
77,G05,DHI,100
78,G06,DHI,100
79,G07,DHI,100
80,G08,DHI,100
81,G09,DHI,100
82,G10,DHI,100
83,G11,DHI,100
84,G12,DHI,100
85,H01,DHI,200
86,H02,DHI,200
87,H03,DHI,200
88,H04,DHI,200
89,H05,DHI,200
90,H06,DHI,200
91,H07,DHI,200
92,H08,DHI,200
93,H09,DHI,200
94,H10,DHI,200
95,H11,DHI,200
96,H12,DHI,200